T_measured,T_out,Q_in
20.14901424590337,10.0,0.0
19.946520709648645,10.109074425172805,0.0
20.170451850740413,10.21809693682668,0.0
20.421344588209635,10.327015646150715,0.0
19.88262471488806,10.43577871373829,0.0
19.87120912980403,10.544334374259822,0.0
20.403937522529844,10.652630961100257,0.0
20.149271045363367,10.760616930949583,0.0
19.76720820240221,10.868240888334652,0.0
20.05997075970267,10.975451610080642,0.0
19.747471337419285,11.082198069690515,0.0
19.736212560901258,11.188429461630864,0.0
19.938095166011735,11.294095225512603,0.0
19.28123671763375,11.39914507015496,0.0
19.32759815041213,11.503528997521366,0.0
19.666377387990572,11.607197326515807,0.0
19.52134087107824,11.710100716628343,0.0
19.90972629956849,11.812190191418509,0.0
19.5334409628435,11.91341716182545,0.0
19.372686157870866,12.013733449293685,0.0
20.226732726365146,12.113091308703497,0.0
19.710096469398334,12.211443451095008,0.0
19.789008157860533,12.308743066175168,0.0
19.33237323263378,12.404943844596938,0.0
19.587657046527582,12.5,0.0
19.775547474561435,12.593866290802607,0.0
19.38839453913357,12.686498041734119,0.0
19.83794538437921,12.77785116509801,0.0
19.536707510123335,12.867882181755231,0.0
19.62117217183858,12.956548241817911,0.0
19.520065754641795,13.043807145043603,0.0
20.248273068951374,13.129617360920296,0.0
19.680664879474097,13.213938048432697,0.0
19.35963583701055,13.296729075500345,0.0
19.916056325280042,13.3779510380783,0.0
19.295490146481495,13.457565278911346,0.0
19.716957306419154,13.535533905932738,0.0
19.059054673567417,13.611819810298778,0.0
19.2412577329813,13.68638668405062,0.0
19.691627926175247,13.759199037394886,0.0
19.84706148479151,13.83022221559489,0.0
19.66997763599564,13.899422415464409,0.0
19.577009693238768,13.966766701456176,0.0
19.514599144306654,14.032223021337412,0.0
19.15468640719524,14.095760221444959,0.0
19.37568676244762,14.157348061512726,0.0
19.446927243321955,14.216957229064427,0.0
19.89581374850091,14.274559353364733,0.0
19.675397626233046,14.330127018922193,0.0
19.03710947060916,14.383633778537538,0.0
19.65702784275,14.43505416589111,5000.0
34.43812826962342,14.48436370766344,5000.0
49.32649320656122,14.53153893518325,5000.0
64.67107505625951,14.576557395597234,5000.0
79.73697880862721,14.619397662556434,5000.0
94.62929305006611,14.660039346413992,5000.0
109.00251591376295,14.69846310392954,5000.0
124.04805047629421,14.734650647475528,5000.0
139.10890582222078,14.768584753741134,5000.0
154.15310120048954,14.800249271929644,5000.0
168.54981316493075,14.82962913144534,5000.0
183.4532310197194,14.856710349066308,5000.0
197.97464555848035,14.881480035599667,5000.0
212.72757398423985,14.903926402016152,5000.0
228.092374706699,14.92403876506104,5000.0
242.99997947471806,14.941807552338803,5000.0
257.29832286977614,14.957224306869051,5000.0
272.33015053369866,14.970281691111598,5000.0
286.82911090107746,14.980973490458727,5000.0
301.20099659125793,14.989294616193018,5000.0
316.15926491381026,14.995241107909289,5000.0
331.1509904759484,14.998810135399545,5000.0
345.3000027710309,15.0,5000.0
360.3837707788088,14.998810135399545,5000.0
373.71455546978166,14.995241107909289,5000.0
389.3156434668494,14.989294616193018,5000.0
403.64629110228907,14.980973490458727,5000.0
418.06410773248825,14.970281691111598,5000.0
432.69751793669286,14.957224306869053,5000.0
446.5724637108757,14.941807552338803,5000.0
461.5841605067052,14.92403876506104,5000.0
476.22112461654035,14.903926402016152,5000.0
491.0039069811776,14.881480035599667,5000.0
504.8342428317945,14.856710349066308,5000.0
519.1590162001507,14.82962913144534,5000.0
533.645550845764,14.800249271929644,5000.0
548.4479035997256,14.768584753741134,5000.0
562.63182265946,14.73465064747553,5000.0
576.716911009417,14.698463103929543,5000.0
591.3552064493213,14.660039346413992,5000.0
605.538500059944,14.619397662556434,5000.0
620.0909023173404,14.576557395597236,5000.0
633.8634243903078,14.53153893518325,5000.0
648.2322906728317,14.48436370766344,5000.0
662.4523414001404,14.435054165891108,5000.0
676.3531574580242,14.38363377853754,5000.0
691.0861577317866,14.330127018922195,5000.0
705.2636375967654,14.274559353364733,5000.0
719.35776213811,14.21695722906443,5000.0
733.4396848360583,14.157348061512725,5000.0
747.2222264979582,14.095760221444959,5000.0
761.6403828307448,14.032223021337412,5000.0
775.7664808485289,13.966766701456176,5000.0
789.714328988518,13.89942241546441,5000.0
803.9753597480801,13.83022221559489,5000.0
818.196728490729,13.759199037394886,5000.0
832.6761894270123,13.686386684050621,5000.0
846.1805982641316,13.611819810298778,5000.0
860.2064703513669,13.535533905932738,5000.0
874.0909590538263,13.457565278911346,5000.0
887.5048745909069,13.3779510380783,5000.0
902.022908726961,13.296729075500345,5000.0
915.9824509920012,13.213938048432698,5000.0
930.6200540301077,13.129617360920296,5000.0
943.7232713500853,13.043807145043605,5000.0
957.7545592352263,12.956548241817911,5000.0
971.5200324454657,12.86788218175523,5000.0
985.0294474885379,12.77785116509801,5000.0
999.5557751044967,12.68649804173412,5000.0
1013.2546764536861,12.593866290802609,5000.0
1027.0658838516893,12.500000000000002,5000.0
1040.3385637420167,12.404943844596938,5000.0
1054.7983705483755,12.30874306617517,5000.0
1067.7064943892303,12.211443451095008,5000.0
1082.0360081086997,12.113091308703497,5000.0
1096.2333914366966,12.013733449293687,5000.0
1108.9788188258547,11.91341716182545,5000.0
1122.7892553294391,11.812190191418509,5000.0
1136.655663712498,11.710100716628345,5000.0
1150.1248268056333,11.60719732651581,5000.0
1163.4442680659379,11.503528997521366,5000.0
1177.5471488619821,11.39914507015496,5000.0
1190.8085359335432,11.294095225512603,5000.0
1204.8535050186651,11.188429461630866,5000.0
1218.003372421811,11.082198069690516,5000.0
1232.2955436116395,10.975451610080643,5000.0
1245.1305611684172,10.868240888334652,5000.0
1258.787521945735,10.760616930949583,5000.0
1272.6304473376442,10.652630961100257,5000.0
1285.5030523640496,10.544334374259822,5000.0
1299.4101560666193,10.43577871373829,5000.0
1313.187373545276,10.327015646150718,5000.0
1325.7500238905354,10.218096936826681,5000.0
1339.7084420121546,10.109074425172807,5000.0
1353.1355639199542,10.0,5000.0
1366.6804768243148,9.890925574827195,5000.0
1379.4469787442529,9.78190306317332,5000.0
1392.7778835805177,9.672984353849284,5000.0
1406.6704017906752,9.564221286261711,5000.0
